001 - 10.25, 14.25, 6.25, 9.25, 20.75, 24.25, 7.25, 6.25, 9.25, 12.25
002 - 13.0, 15.0, 9.0, 12.0, 17.5, 21.0, 6.0, 3.0, 8.0, 13.0
003 - 9.75, 11.75, 5.75, 8.75, 18.25, 21.75, 6.75, 3.75, 8.75, 9.75
004 - 12.25, 14.25, 3.25, 6.25, 15.75, 19.25, 4.25, 6.25, 11.25, 12.25
005 - 12.75, 8.25, 2.25, 11.75, 14.75, 24.75, 9.75, 6.75, 5.25, 6.25
006 - 13.0, 15.0, 9.0, 12.0, 21.5, 25.0, 10.0, 7.0, 12.0, 13.0
007 - 10.25, 11.75, 5.75, 9.25, 18.25, 21.75, 7.25, 3.75, 9.25, 10.25
008 - 13.75, 17.5, 11.5, 14.5, 22.25, 27.5, 10.75, 7.75, 14.5, 13.75
009 - 10.0, 12.5, 6.0, 9.0, 19.0, 22.0, 7.0, 4.5, 9.5, 10.5
010 - 14.5, 10.75, 10.5, 13.5, 17.25, 26.5, 5.75, 8.5, 7.75, 8.75
011 - 14.5, 16.0, 10.5, 13.5, 22.5, 26.0, 11.5, 8.0, 13.0, 14.5
012 - 10.0, 12.0, 6.0, 12.5, 22.0, 22.0, 10.5, 4.0, 12.5, 13.5
013 - 14.25, 16.25, 3.0, 6.0, 15.5, 19.0, 11.25, 8.25, 6.0, 14.25
014 - 12.5, 14.5, 8.5, 11.5, 18.5, 22.0, 7.0, 4.0, 11.5, 10.0
015 - 14.0, 16.0, 10.0, 13.0, 22.5, 26.0, 11.0, 8.0, 13.0, 14.0
016 - 13.0, 9.25, 3.25, 12.0, 21.5, 19.25, 10.0, 1.25, 6.25, 13.0
017 - 10.75, 9.5, 6.75, 6.5, 16.0, 22.75, 4.5, 4.75, 9.75, 7.5
018 - 15.0, 17.0, 4.25, 7.25, 23.5, 20.25, 5.25, 9.0, 14.0, 8.25
019 - 15.5, 17.5, 4.25, 7.25, 24.0, 20.25, 5.25, 9.5, 14.5, 8.25
020 - 9.25, 11.25, 5.25, 8.25, 17.75, 21.25, 6.25, 3.25, 8.25, 9.25
021 - 7.25, 9.25, 3.25, 6.25, 15.75, 19.25, 4.25, 1.25, 6.25, 7.25
022 - 9.0, 16.25, 10.25, 8.0, 22.75, 21.0, 11.25, 3.0, 13.25, 9.0
023 - 6.25, 8.25, 4.25, 7.25, 14.75, 20.25, 5.25, 0.25, 5.25, 8.25
024 - 7.25, 16.75, 10.75, 6.25, 23.25, 19.25, 4.25, 8.75, 6.25, 14.75
025 - 15.5, 14.0, 11.5, 11.0, 24.0, 27.5, 12.5, 6.0, 11.0, 12.0
026 - 6.75, 8.75, 2.75, 5.75, 15.25, 18.75, 3.75, 0.75, 5.75, 6.75
027 - 15.75, 17.75, 12.0, 15.0, 24.25, 27.75, 13.0, 9.75, 15.0, 16.0
028 - 12.25, 14.25, 10.0, 11.25, 20.75, 26.0, 11.0, 8.0, 11.25, 14.0
029 - 8.5, 10.5, 4.5, 14.5, 24.0, 27.5, 12.5, 9.5, 7.5, 8.5
030 - 13.75, 15.75, 9.75, 9.25, 22.25, 22.25, 7.25, 7.75, 9.25, 10.25
031 - 15.5, 16.75, 11.5, 13.75, 24.0, 26.75, 12.5, 9.5, 13.75, 14.75
032 - 8.75, 10.75, 4.75, 7.75, 17.25, 20.75, 5.75, 2.75, 7.75, 8.75
033 - 7.0, 10.0, 3.0, 7.0, 15.5, 20.0, 4.0, 1.0, 7.0, 8.0
034 - 15.75, 17.75, 11.75, 14.75, 24.25, 27.75, 12.75, 9.75, 14.75, 15.75
035 - 12.75, 14.75, 4.5, 7.5, 17.0, 24.75, 5.5, 2.5, 11.75, 12.75
036 - 6.5, 13.75, 2.5, 10.75, 15.0, 18.5, 8.75, 0.5, 10.75, 11.75
037 - 13.75, 12.25, 6.25, 12.75, 18.75, 22.25, 10.75, 7.75, 12.75, 10.25
038 - 8.0, 10.0, 9.75, 12.75, 22.25, 25.75, 5.0, 7.75, 7.0, 8.0
